name,county,state,zipcode,longitude,latitude
Buffalo Academy of Science Charter School,Buffalo,New York,14202,-78.877477,42.881489
The Prop Shop in Kaleideum,Winston-Salem,NC,27101,-80.20043,36.11085
MiY : Make it Yourself,Piscataway,NJ,8854,-74.460817,40.54564
Fenn School Makerspace Lab,Concord,MA,1742,-71.364496,42.462911
The Viking Mars Missions Education and Preservation Project  (VMMEPP),Portland,OR,2143,-71.096714,42.381409
Parts and Crafts,Somerville,MA,2144,-71.12255,42.399655
CodeCreate Technology Education,Chicago,Illinois,60430,-87.664442,41.55888
Mess Labs,Dallas,Tx,75202,-96.804768,32.779253
Multnomah County Library's Rockwood Makerspace,Portland,Oregon,97233,-122.502168,45.515307
The Mix at SFPL,San Francisco,CA,94102,-122.419318,37.779588
Bloominglabs,Bloomington,Indiana,47401,-86.442835,39.102306
Vector Space,lynchburg,VA,24504,-79.048192,37.365249
GEMS,Franklin,PA,16323,-79.828317,41.41192
The Clubhouse Network,Boston,MA,2114,-71.068646,42.363174
Millvale Community Library,Millvale,PA,15209,-79.969726,40.498847
Createch - Saint Paul Public Library,St Paul,MN,55119,-93.007402,44.937421
Buffalo Academy of Science Charter School,Buffalo,NY,14202,-78.877477,42.881489
Eleanor Roosevelt Community Learning Center,Visalia,CA,93292,-119.211689,36.37559
Avonworth Primary Center,Pittsburgh,PA,15237,-80.043513,40.549607
The University of Southern Mississippi,Hattiesburg,MS,39406,-89.33457,31.328445
Jackson P. Burley Middle School,Charlottesville,VA,22903,-78.59506,38.006972
University Prep,Seattle,WA,98115,-122.281589,47.685746
Harry S Truman College-Child Development,chicago,il,60640,-87.662604,41.972872
BBES STEM,Bradley Beach,NJ,7720,-74.012056,40.201604
Lighthouse Community Public Schools,Oakland,CA,94621,-122.216825,37.748272
Wood Middle School,Alameda,CA,94501,-122.278115,37.773793
Children's Museum of Houston,Houston,TX,77004,-95.363752,29.724893
Monticello High School,Charlottesville,VA,22902,-78.52212,37.910276
Digital Harbor Foundation,Baltimore,Maryland,21230,-76.623803,39.26613
